"ordinal_date","growth_percent"
1,0.999909302110187
2,0.999909412914474
3,0.99990896969993
4,0.999380329312361
5,0.999612885076231
6,0.999904759502581
7,0.999905756599541
8,0.999906532142824
9,0.99990708611496
10,0.999907529300304
11,0.999907861693785
12,0.999908194091115
13,0.999908415691481
14,0.999908748095256
15,0.99990896969993
16,0.999909191306334
17,0.999909412914474
18,0.999909634524351
19,0.999909856135972
20,0.999910077749339
21,0.999910299364456
22,0.999910520981329
23,0.99991074259996
24,0.999766720602157
25,0.998539077925315
26,0.998885151465745
27,0.999996374418925
28,0.999975559902238
29,0.999205258978433
30,0.999421393020944
31,0.999992585337102
32,0.999976116218304
33,0.999939902711469
34,0.999951445123666
35,0.99994900280422
36,0.999947448792504
37,0.999946449861204
38,0.999804386305569
39,0.999961662860919
40,0.999956219874525
41,0.999925817041904
42,0.999948225780117
43,0.999947337797221
44,0.999946893823401
45,0.999946671840855
46,0.999946560850668
47,0.999835076263125
48,0.999967219411692
49,0.999960551862743
50,0.999956219874525
51,0.999953443669659
52,0.999951667171456
53,0.999950445947649
54,0.999826926640741
55,0.999978787107031
56,0.999969109280346
57,0.999962773958996
58,0.999958663387376
59,0.9999559977584
60,0.999954331997568
61,0.999797390592304
62,0.999989739354408
63,0.999977562828846
64,0.99996966519108
65,0.99996444079988
66,0.999960996250206
67,0.999958774466621
68,0.999957108374281
69,0.999956553055295
70,0.9999559977584
71,0.999943342443615
72,0.999960107490822
73,0.99995855230906
74,0.999957552645563
75,0.999956886244018
76,0.999956553055295
77,0.999951334100961
78,0.999958885546795
79,0.999726680610994
80,0.99999818901936
81,0.99998658369593
82,0.999978898415617
83,0.999973891184231
84,0.999970665910027
85,0.999968553400498
86,0.999967219411692
87,0.999966441329484
88,0.999965885590711
89,0.999965441019879
90,0.999965552160919
91,0.999965552160919
92,0.999965552160919
93,0.999498314900917
94,0.999999612378213
95,0.999994316817979
96,0.99999084393664
97,0.999988590527121
98,0.999987141050828
99,0.999986249317104
100,0.999985580633338
101,0.99998524632725
102,0.999985023469413
103,0.999984912044304
104,0.999984800621709
105,0.999959218792924
106,0.999994059797536
107,0.999991089452838
108,0.999989159317529
109,0.999987921472309
110,0.999987141050828
111,0.99998658369593
112,0.999986249317104
113,0.999986137863041
114,0.999986026411715
115,0.999986026411715
116,0.999983352348774
117,0.999987475498956
118,0.999987029574051
119,0.999986806629241
120,0.99998669516116
121,0.99998658369593
122,0.99998658369593
123,0.99998658369593
124,0.999985580633338
125,0.999987141050828
126,0.999987586987685
127,0.999987029574051
